,,no why,,why,,
90,,85,,90,1,4.5
85,85,90,,95,2,4
92,,80,,75,3,3.5
88,14,82,,70,4,3
92,,85,,85,5,4
85,,70,,90,6,3
89,,85,,85,7,4.5
87,60,90,,95,8,3.5
80,,70,,85,9,3
85,,85,,90,10,2.5
92,,90,,92,11,4.5
,,80,,82,12,2
,,85,,90,13,4
,,90,,95,14,5
,,80,,85,15,3
,,95,,97,16,4.5
,,88,,85,17,4
,,76,,80,18,3
,,93,,92,19,3.5
,,92,,90,20,4.5
,,85,,85,21,5
,,90,,95,22,5
,,80,,80,23,4
,,88,,88,24,4.5
,,85,,85,25,4
,,80,,90,26,3
,,90,,93,27,5
,,75,,87,28,4
,,85,,90,29,3
,,75,,85,30,3.5
,,90,,93,31,4.5
,,80,,80,32,2.5
,,82,,80,33,4
,,90,,85,34,5
,,95,,90,35,5
,,85,,75,36,3
,,90,,85,37,4
,,75,,70,38,2
,,85,,90,39,3
,,95,,80,40,4.5
,,85,,85,41,4
,,75,,70,42,3
,,90,,80,43,4.5
,29,80,,88,44,4.5
,,87,,90,45,4
,,80,,85,46,3.5
,,92,,95,47,4.5
,,80,,85,48,3
,,85,,85,49,4.5
,,90,,95,50,5
,,88,,,51,
,,83,,,52,
,,80,,,53,
,,85,,,54,
,,90,,,55,
,,95,,,56,
,,85,,,57,
,,80,,,58,
,,90,,,59,
,,70,,,60,
,,90,,,61,
,,85,,,62,
,,80,,,63,
,,88,,,64,
,,65,,,65,
,,90,,,66,
,,85,,,67,
,,75,,,68,
,,85,,,69,
,,80,,,70,
,,75,,,71,
,,82,,,72,
,,85,,,73,
,,90,,,74,
,,88,,,75,
,,87,,,76,
,,85,,,77,
,,80,,,78,
,,75,,,79,
,,90,,,80,
,,90,,,81,
,,85,,,82,
,,80,,,83,
,,87,,,84,
,,85,,,85,
,,60,,,86,
,,80,,,87,
,,75,,,88,
,,85,,,89,
,,80,,,90,
,,90,,,91,
,,70,,,92,
,,85,,,93,
,,75,,,94,
,,80,,,95,
,,90,,,96,
,,92,,,97,
,,85,,,98,
,,90,,,99,
,,89,,,100,
,,80,,,101,
,,90,,,102,
,,95,,,103,
,,80,,,104,
,,85,,,105,
,,80,,,106,
,,70,,,107,
,,75,,,108,
,,75,,,109,
,,90,,,110,
,,80,,,111,
,,85,,,112,
,,85,,,113,
,,90,,,114,
,,80,,,115,
,,88,,,116,
,,85,,,117,
,,70,,,118,
,,90,,,119,
,,95,,,120,
,,25,,,121,
,,85,,,122,
,,90,,,123,
,,80,,,124,
,,85,,,125,
,,90,,,126,
,,100,,,127,
,,95,,,128,
,,85,,,129,
,,80,,,130,
,,95,,,131,
,,90,,,132,
,,85,focus on distortions,,133,
,,90,,,134,
,,80,,,135,
,,95,,,136,
,,85,,,137,
,,80,,,138,
,,90,,,139,
,,95,,,140,
,,85,82,,141,
,,90,90,,142,
,,80,86,,143,
,,95,88,,144,
,,85,,,145,
,,70,,,146,
,,80,,,147,
,,90,,,148,
,,85,,,149,
,,70,,,150,
,,95,,,151,
,,75,,,152,
,,88,,,153,
,,45,,,154,
,,70,,,155,
,,95,,,156,
,,85,,,157,
,,100,,,158,
,,90,,,159,
,,95,,,160,
,,80,,,161,
,,85,,,162,
,,90,,,163,
,,95,,,164,
,,85,,,165,
,,80,,,166,
,,90,,,167,
,,70,,,168,
,,68,,,169,
,,75,,,170,
,,92,,,171,
,,80,,,172,
,,85,,,173,
,,95,,,174,
,,60,,,175,
,,90,,,176,
,,45,,,177,
,,90,,,178,
,,75,,,179,
,,95,,,180,
,,55,,,181,
,,85,,,182,
,,90,,,183,
,,80,,,184,
,,85,,,185,
,,95,,,186,
,,90,,,187,
,,88,,,188,
,,85,,,189,
,,100,,,190,
,,65,,,191,
,,90,,,192,
,,70,,,193,
,,90,,,194,
,,55,,,195,
,,85,,,196,
,,85,,,197,
,,95,,,198,
,,90,,,199,
,,70,,,200,
,,50,,,201,
,,75,,,202,
,,90,,,203,
,,95,,,204,
,,85,,,205,
,,90,,,206,
,,80,,,207,
,,95,,,208,
,,85,,,209,
,,90,,,210,
,,88,,,211,
,,92,,,212,
,,65,,,213,
,,90,,,214,
,,80,,,215,
,,85,,,216,
,,85,,,217,
,,80,,,218,
,,90,,,219,
,,88,,,220,
,,75,,,221,
,,85,,,222,
,,90,,,223,
,,80,,,224,
,,50,,,225,
,,80,,,226,
,,90,,,227,
